                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.46121,                0.30917,                0.82984,                0.64069,                  0.505,                0.55033,                0.36434,                0.98862,                0.73676,                  1.025,             0.00043715,             0.00043715,             0.00043715
                     49,                0.44226,                0.29851,                0.82465,                0.65666,                0.49525,                0.55197,                0.36406,                 1.0098,                 0.7489,                 1.0507,             0.00043126,             0.00043126,             0.00043126
                     50,                0.44364,                0.29783,                0.82393,                0.65711,                0.48796,                0.54669,                0.36235,                0.99956,                 0.7704,                 1.0376,             0.00042537,             0.00042537,             0.00042537
                     51,                0.43918,                0.29662,                0.82472,                0.66534,                0.49047,                0.55675,                0.36547,                 0.9984,                0.74965,                 1.0365,             0.00041947,             0.00041947,             0.00041947
                     52,                  0.446,                0.29956,                0.82855,                0.67448,                0.49409,                 0.5574,                 0.3697,                 0.9972,                0.75533,                 1.0369,             0.00041358,             0.00041358,             0.00041358
                     53,                0.44232,                0.29834,                0.82569,                0.67809,                0.48014,                0.55204,                0.36346,                0.99826,                 0.7469,                 1.0358,             0.00040769,             0.00040769,             0.00040769
                     54,                0.43022,                0.28878,                0.82091,                0.64433,                0.48358,                  0.544,                0.36064,                0.98785,                0.75746,                 1.0275,              0.0004018,              0.0004018,              0.0004018
                     55,                0.43661,                0.29404,                0.82254,                0.65537,                0.49215,                0.55139,                0.36554,                0.99248,                0.74489,                  1.029,             0.00039591,             0.00039591,             0.00039591
                     56,                0.43211,                0.28702,                0.82397,                0.63943,                0.50772,                0.55357,                0.36722,                0.98743,                0.73031,                 1.0232,             0.00039002,             0.00039002,             0.00039002
                     57,                0.42668,                0.28532,                0.81954,                0.65236,                0.50643,                0.55866,                0.37249,                0.97788,                 0.7312,                 1.0251,             0.00038413,             0.00038413,             0.00038413
                     58,                0.41996,                0.28047,                0.82039,                0.67147,                0.49062,                0.55013,                0.36564,                0.98744,                0.74762,                 1.0294,             0.00037824,             0.00037824,             0.00037824
                     59,                0.42128,                0.28123,                0.81958,                0.65773,                0.50382,                0.55457,                0.36763,                0.98652,                0.74229,                 1.0237,             0.00037235,             0.00037235,             0.00037235
                     60,                 0.4329,                 0.2845,                0.82115,                0.65008,                 0.5004,                0.55382,                0.36783,                0.98442,                0.73928,                 1.0255,             0.00036646,             0.00036646,             0.00036646
                     61,                0.43091,                  0.284,                0.82124,                0.66118,                0.50952,                0.56537,                0.37415,                0.98193,                0.72052,                 1.0278,             0.00036057,             0.00036057,             0.00036057
                     62,                0.42119,                0.27787,                0.82283,                0.65957,                0.50453,                0.55718,                0.37159,                0.98036,                0.72238,                 1.0251,             0.00035468,             0.00035468,             0.00035468
                     63,                0.41405,                0.27636,                0.81864,                0.70091,                0.48602,                0.56045,                0.37252,                0.97744,                0.72531,                 1.0188,             0.00034879,             0.00034879,             0.00034879
                     64,                0.41538,                0.27521,                0.81936,                0.66172,                 0.5118,                0.56307,                 0.3745,                0.97423,                0.72661,                 1.0199,              0.0003429,              0.0003429,              0.0003429
                     65,                0.40796,                0.27316,                 0.8194,                0.69301,                0.48541,                0.55354,                0.36882,                 0.9767,                0.73737,                 1.0197,             0.00033701,             0.00033701,             0.00033701
                     66,                0.40827,                0.27076,                  0.817,                0.67843,                0.50399,                0.56154,                0.37322,                 0.9851,                0.73009,                 1.0298,             0.00033112,             0.00033112,             0.00033112
                     67,                0.40388,                0.26841,                0.81585,                0.66919,                0.50487,                0.56599,                0.37825,                0.97997,                0.71759,                 1.0234,             0.00032523,             0.00032523,             0.00032523
                     68,                0.40454,                0.26839,                0.81571,                 0.6734,                0.49934,                0.55982,                0.37371,                0.97529,                0.73426,                 1.0216,             0.00031934,             0.00031934,             0.00031934
                     69,                0.39986,                0.26664,                0.81466,                0.65817,                0.50913,                0.56686,                0.37776,                 0.9766,                0.71864,                 1.0199,             0.00031345,             0.00031345,             0.00031345
                     70,                0.39396,                0.26449,                0.81444,                0.66966,                0.50639,                0.56879,                0.37819,                0.97824,                0.71717,                 1.0235,             0.00030756,             0.00030756,             0.00030756
                     71,                0.39485,                0.26369,                0.81302,                0.66288,                0.51037,                0.56585,                0.37754,                0.97752,                0.73972,                 1.0263,             0.00030167,             0.00030167,             0.00030167
                     72,                0.38684,                0.25893,                0.81243,                 0.6662,                0.49929,                0.55832,                0.37246,                0.98135,                0.73559,                 1.0293,             0.00029577,             0.00029577,             0.00029577
                     73,                0.39624,                0.26085,                0.81556,                0.65261,                0.51478,                 0.5701,                0.38073,                0.97987,                0.72915,                 1.0238,             0.00028988,             0.00028988,             0.00028988
                     74,                0.39449,                0.25958,                0.81267,                0.67632,                0.50867,                0.56724,                0.37972,                0.97248,                0.72328,                 1.0235,             0.00028399,             0.00028399,             0.00028399
                     75,                0.38492,                0.25228,                0.80901,                 0.6606,                0.51007,                0.55409,                0.37155,                0.96959,                 0.7217,                 1.0187,              0.0002781,              0.0002781,              0.0002781
                     76,                0.39079,                0.26013,                0.81532,                0.66434,                0.50559,                0.56292,                0.37543,                0.97229,                0.71665,                 1.0183,             0.00027221,             0.00027221,             0.00027221
                     77,                 0.3846,                0.25423,                0.81285,                0.66404,                0.50783,                0.56185,                0.37414,                0.97065,                0.71914,                 1.0213,             0.00026632,             0.00026632,             0.00026632
                     78,                0.37981,                0.25149,                0.81216,                0.67942,                0.50522,                0.55941,                0.37489,                0.97109,                0.72948,                 1.0255,             0.00026043,             0.00026043,             0.00026043
                     79,                0.37819,                0.24871,                0.81146,                0.69623,                0.50684,                 0.5639,                0.37773,                0.96886,                0.72239,                 1.0201,             0.00025454,             0.00025454,             0.00025454
                     80,                0.38194,                 0.2501,                0.81454,                0.69409,                0.50378,                0.56115,                0.37678,                 0.9671,                0.72634,                 1.0173,             0.00024865,             0.00024865,             0.00024865
                     81,                0.37499,                0.24633,                0.81114,                0.67673,                0.50313,                0.55663,                  0.375,                0.96685,                0.72646,                 1.0164,             0.00024276,             0.00024276,             0.00024276
                     82,                0.37269,                0.24508,                0.81108,                0.66936,                0.50214,                0.55559,                0.37353,                0.97111,                 0.7168,                 1.0191,             0.00023687,             0.00023687,             0.00023687
                     83,                0.37136,                0.24382,                0.80893,                0.67431,                0.50594,                 0.5576,                 0.3747,                0.97623,                0.71457,                  1.024,             0.00023098,             0.00023098,             0.00023098
                     84,                0.37022,                0.24225,                0.81087,                0.65779,                0.51246,                0.56186,                0.37669,                0.97206,                0.71483,                 1.0231,             0.00022509,             0.00022509,             0.00022509
                     85,                0.37213,                 0.2461,                0.80833,                0.62584,                 0.5276,                0.55946,                0.37534,                0.97445,                0.71223,                 1.0235,              0.0002192,              0.0002192,              0.0002192
                     86,                0.37061,                0.24225,                  0.809,                0.65663,                0.50869,                0.56011,                0.37556,                 0.9728,                0.71788,                 1.0227,             0.00021331,             0.00021331,             0.00021331
                     87,                0.36439,                0.23811,                0.80704,                0.67318,                  0.505,                0.55787,                0.37457,                0.97449,                0.72803,                  1.021,             0.00020742,             0.00020742,             0.00020742
                     88,                0.35903,                 0.2359,                0.80625,                0.65551,                0.50604,                 0.5539,                0.37323,                0.97018,                0.72047,                 1.0196,             0.00020153,             0.00020153,             0.00020153
                     89,                0.36318,                0.23843,                0.80805,                0.66606,                0.50738,                0.55223,                 0.3721,                0.97095,                 0.7233,                 1.0196,             0.00019564,             0.00019564,             0.00019564
                     90,                0.35955,                0.23669,                 0.8077,                0.65402,                0.51735,                0.55859,                0.37723,                0.97107,                0.71939,                 1.0187,             0.00018975,             0.00018975,             0.00018975
                     91,                0.35796,                0.23666,                0.80811,                0.66323,                 0.5132,                0.55746,                0.37653,                0.96977,                0.71386,                 1.0193,             0.00018385,             0.00018385,             0.00018385
                     92,                 0.3633,                0.23691,                0.80916,                0.68315,                0.49674,                0.55964,                0.37752,                0.97235,                0.71443,                 1.0217,             0.00017796,             0.00017796,             0.00017796
                     93,                0.35276,                0.22983,                0.80723,                0.67737,                0.50267,                0.56151,                0.37976,                0.97092,                0.71295,                 1.0193,             0.00017207,             0.00017207,             0.00017207
                     94,                0.35035,                0.22967,                0.80616,                0.68773,                0.50277,                0.56347,                 0.3792,                 0.9729,                0.71493,                 1.0207,             0.00016618,             0.00016618,             0.00016618
                     95,                0.34092,                0.22375,                0.80558,                0.66973,                0.51679,                0.56483,                0.37927,                0.97207,                0.70586,                 1.0187,             0.00016029,             0.00016029,             0.00016029
                     96,                 0.3461,                0.22578,                0.80405,                0.66204,                0.51958,                0.56505,                0.37968,                0.97176,                0.71097,                 1.0209,              0.0001544,              0.0001544,              0.0001544
                     97,                0.34857,                0.22496,                0.80662,                 0.6582,                0.51496,                0.56159,                0.37796,                0.97273,                 0.7127,                   1.02,             0.00014851,             0.00014851,             0.00014851
